1.000,0.310,0.277,0.907,0.414,0.558,0.103,0.338,0.000,0.703
1.000,0.405,0.357,0.905,0.265,0.580,0.093,0.351,0.000,0.000
1.000,0.413,0.334,0.907,0.237,0.607,0.092,0.360,0.000,0.000
1.000,0.517,0.474,0.899,0.336,0.397,0.090,0.367,0.000,0.000
1.000,0.294,0.266,0.869,0.396,0.600,0.108,0.341,0.000,0.649
1.000,0.418,0.279,0.920,0.305,0.565,0.097,0.401,0.000,0.000
1.000,0.408,0.288,0.894,0.305,0.601,0.087,0.378,0.000,0.459
1.000,0.416,0.280,0.889,0.293,0.607,0.093,0.379,0.000,0.000
1.000,0.697,0.524,0.967,0.187,0.266,0.024,0.476,0.000,0.000
1.000,0.513,0.452,0.937,0.277,0.404,0.010,0.443,0.000,0.000
1.000,0.399,0.313,0.889,0.436,0.514,0.087,0.385,0.000,0.189
1.000,0.409,0.282,0.892,0.374,0.518,0.087,0.396,0.000,0.514
1.000,0.548,0.589,0.942,0.000,0.386,0.005,0.457,0.000,0.000
1.000,0.400,0.276,0.910,0.312,0.525,0.095,0.419,0.000,0.000
1.000,0.410,0.280,0.897,0.330,0.567,0.100,0.405,0.000,0.000
1.000,0.390,0.370,0.879,0.268,0.536,0.081,0.384,0.000,0.000
1.000,0.418,0.307,0.889,0.287,0.563,0.105,0.397,0.000,0.000
1.000,0.437,0.343,0.874,0.349,0.498,0.095,0.384,0.000,0.000
1.000,0.390,0.290,0.874,0.324,0.571,0.090,0.384,0.000,0.000
1.000,0.431,0.323,0.877,0.308,0.538,0.097,0.392,0.000,0.000
1.000,0.421,0.255,0.894,0.315,0.578,0.098,0.417,0.000,0.378
1.000,0.425,0.287,0.874,0.293,0.558,0.098,0.401,0.041,0.595
1.000,0.411,0.243,0.872,0.340,0.634,0.097,0.399,0.000,0.162
1.000,0.430,0.261,0.889,0.327,0.554,0.092,0.425,0.000,0.000
1.000,0.291,0.356,0.867,0.287,0.516,0.090,0.402,0.000,0.000
1.000,0.512,0.450,0.887,0.321,0.348,0.082,0.429,0.050,0.000
1.000,0.707,0.501,0.960,0.056,0.341,0.018,0.530,0.000,0.000
1.000,0.707,0.501,0.960,0.056,0.341,0.018,0.530,0.000,0.000
1.000,0.437,0.277,0.879,0.259,0.569,0.103,0.428,0.000,0.000
1.000,0.412,0.265,0.859,0.283,0.600,0.095,0.411,0.000,0.000
1.000,0.428,0.343,0.852,0.324,0.520,0.095,0.405,0.000,0.000
1.000,0.506,0.387,0.874,0.330,0.373,0.089,0.457,0.000,0.000
1.000,0.486,0.340,0.847,0.277,0.513,0.092,0.435,0.000,0.432
1.000,1.000,0.466,0.930,0.131,0.304,0.003,0.562,0.000,0.270
1.000,0.714,0.343,0.947,0.156,0.380,0.021,0.588,0.000,0.000
1.000,0.505,0.402,0.842,0.293,0.397,0.095,0.446,0.000,0.000
1.000,0.776,0.424,0.935,0.069,0.337,0.014,0.593,0.000,0.432
1.000,0.421,0.224,0.681,0.312,0.690,0.090,0.465,0.000,0.649
1.000,0.064,0.309,0.872,0.259,0.560,0.100,0.374,0.000,0.838
1.000,0.457,0.290,0.874,0.312,0.554,0.097,0.384,0.000,0.000
1.000,0.509,0.405,0.910,0.255,0.498,0.023,0.426,0.000,0.000
1.000,0.555,0.438,0.899,0.321,0.332,0.019,0.415,0.314,0.000
1.000,0.681,0.391,0.970,0.184,0.344,0.037,0.526,0.000,0.297
1.000,0.716,0.494,0.957,0.153,0.264,0.000,0.545,0.000,0.000
1.000,0.668,0.318,0.917,0.181,0.422,0.031,0.566,0.000,0.459
1.000,0.668,0.318,0.917,0.181,0.440,0.031,0.566,0.000,0.459
1.000,0.668,0.329,0.899,0.190,0.418,0.037,0.562,0.000,0.432
1.000,0.764,0.359,0.899,0.165,0.380,0.019,0.607,0.000,0.081
2.000,0.296,0.603,0.922,0.452,0.359,0.026,0.247,0.000,0.324
2.000,0.472,0.411,0.972,0.305,0.375,0.087,0.370,0.000,0.865
2.000,0.332,0.364,0.897,0.399,0.540,0.098,0.315,0.000,0.000
2.000,0.341,0.380,0.907,0.389,0.453,0.106,0.333,0.000,0.000
2.000,0.330,0.310,0.899,0.389,0.533,0.098,0.334,0.000,0.000
2.000,0.321,0.455,0.884,0.299,0.542,0.060,0.321,0.000,0.378
2.000,0.308,0.350,0.867,0.355,0.594,0.098,0.311,0.000,0.000
2.000,0.293,0.348,0.877,0.368,0.609,0.061,0.333,0.000,0.000
2.000,0.338,0.239,0.874,0.492,0.605,0.101,0.339,0.000,0.243
2.000,0.468,0.299,0.940,0.255,0.433,0.103,0.452,0.000,0.595
2.000,0.316,0.294,0.864,0.361,0.574,0.071,0.364,0.000,0.000
2.000,0.305,0.329,0.857,0.402,0.611,0.011,0.379,0.000,0.514
2.000,0.306,0.348,0.839,0.368,0.582,0.063,0.357,0.000,0.000
2.000,0.331,0.265,0.837,0.374,0.614,0.108,0.360,0.000,0.000
2.000,0.480,0.367,0.862,0.355,0.429,0.082,0.406,0.000,0.000
2.000,0.468,0.313,0.910,0.240,0.444,0.103,0.474,0.000,0.405
2.000,0.405,0.184,0.817,0.271,0.663,0.100,0.444,0.000,0.649
2.000,0.448,0.304,0.744,0.355,0.549,0.097,0.430,0.064,0.000
2.000,0.348,0.271,0.716,0.358,0.612,0.092,0.430,0.050,0.595
2.000,0.396,0.208,0.683,0.417,0.540,0.113,0.487,0.000,0.000
2.000,0.454,0.250,0.693,0.168,0.710,0.056,0.511,0.000,0.541
2.000,0.876,0.066,0.000,0.495,0.417,0.130,1.000,0.000,0.919
2.000,0.472,0.326,0.997,0.280,0.462,0.097,0.384,0.000,0.000
2.000,0.470,0.350,0.945,0.321,0.455,0.093,0.383,0.000,0.000
2.000,0.353,0.299,0.889,0.414,0.556,0.103,0.333,0.000,0.568
2.000,0.369,0.346,0.889,0.371,0.534,0.090,0.342,0.000,0.000
2.000,0.614,0.397,0.525,0.430,0.415,0.085,0.530,0.123,0.459
2.000,0.450,0.378,1.000,0.277,0.471,0.093,0.348,0.000,0.000
2.000,0.448,0.362,0.967,0.299,0.524,0.084,0.344,0.000,0.000
2.000,0.445,0.310,0.955,0.246,0.576,0.090,0.378,0.000,0.324
2.000,0.360,0.277,0.884,0.389,0.629,0.106,0.316,0.000,0.000
2.000,0.370,0.362,0.889,0.411,0.480,0.110,0.343,0.000,0.000
2.000,0.352,0.287,0.882,0.358,0.565,0.110,0.359,0.027,0.676
2.000,0.383,0.310,0.872,0.467,0.513,0.106,0.352,0.000,0.000
2.000,0.351,0.309,0.799,0.293,0.558,0.093,0.433,0.000,0.649
2.000,0.466,0.287,0.922,0.296,0.486,0.100,0.416,0.000,0.946
3.000,0.421,0.413,0.920,0.255,0.522,0.018,0.406,0.000,0.000
3.000,0.319,0.362,0.887,0.327,0.504,0.090,0.371,0.000,0.000
3.000,0.358,0.348,0.897,0.340,0.509,0.090,0.385,0.000,0.270
