1.00,0.72,0.18,0.60,0.35,0.41,0.66,0.89,0.38,0.65,0.84,0.64,0.69,0.70
1.00,0.44,0.18,0.45,0.09,0.19,0.60,0.82,0.08,0.98,0.64,0.64,0.62,0.62
1.00,0.69,0.16,0.82,0.34,0.22,0.51,0.74,0.18,0.74,0.44,0.77,0.79,0.70
1.00,0.68,0.18,0.70,0.18,0.45,1.00,0.95,0.38,0.57,0.62,0.52,0.75,0.65
1.00,0.67,0.21,0.87,0.34,0.51,0.70,0.68,0.52,0.50,0.53,0.65,0.63,0.78
1.00,0.66,0.16,0.59,0.30,0.55,0.56,0.71,0.16,0.47,0.47,0.42,0.73,0.56
1.00,0.60,0.18,0.73,0.51,0.52,0.68,0.68,0.14,0.80,0.52,0.48,0.66,0.60
1.00,0.81,0.17,0.62,0.29,0.55,0.77,0.74,0.26,0.64,0.54,0.44,0.77,0.49
1.00,0.52,0.23,0.87,0.32,0.33,0.70,0.81,0.36,0.49,0.49,0.58,0.59,0.71
1.00,0.65,0.11,0.75,0.31,0.41,0.83,0.93,0.12,0.64,0.59,0.38,0.60,0.72
1.00,0.81,0.17,0.71,0.26,0.67,0.63,0.76,0.30,0.74,0.45,0.55,1.00,0.56
1.00,0.49,0.19,0.52,0.03,0.30,0.58,0.67,0.26,0.34,0.29,0.56,0.80,0.55
1.00,0.48,0.31,0.87,0.41,0.32,0.63,0.81,0.34,0.94,0.45,0.54,0.72,0.65
1.00,0.86,0.22,0.75,0.32,0.48,0.99,0.88,0.22,0.69,0.71,0.35,0.82,0.86
1.00,0.50,0.36,1.00,0.54,0.55,0.63,0.65,0.52,0.55,0.29,0.55,0.63,0.33
1.00,0.80,0.18,0.72,0.24,0.47,0.79,0.85,0.42,0.61,0.58,0.56,0.60,0.84
1.00,0.86,0.21,0.72,0.21,0.25,0.52,0.61,0.34,0.62,0.40,0.53,0.87,0.72
1.00,0.76,0.26,0.83,0.36,0.59,0.56,0.60,0.36,0.33,0.38,0.57,0.87,0.73
1.00,1.00,0.16,0.54,0.18,0.26,0.63,0.74,0.32,0.62,0.39,0.59,0.60,0.55
1.00,0.70,0.10,0.60,0.28,0.27,0.69,0.78,0.18,0.56,0.64,0.52,0.86,0.55
1.00,0.77,0.27,0.62,0.38,0.37,0.68,0.83,0.18,0.77,0.46,0.78,0.72,0.88
1.00,0.78,0.12,0.64,0.32,0.23,0.42,0.58,0.26,0.45,0.37,0.69,0.58,0.71
1.00,0.66,0.18,0.70,0.28,0.15,0.56,0.67,0.32,0.55,0.44,0.67,0.62,0.74
1.00,0.97,0.18,0.68,0.04,0.18,0.73,0.93,0.60,0.94,0.42,0.78,0.55,0.62
1.00,0.86,0.21,0.68,0.07,0.33,0.80,0.92,0.32,1.00,0.67,0.73,0.65,0.91
1.00,0.62,0.19,0.89,0.34,0.47,0.64,0.72,0.34,0.41,0.65,0.81,0.61,0.74
1.00,0.83,0.22,0.90,0.48,0.58,0.63,0.78,0.40,0.61,0.52,0.58,0.52,0.71
1.00,0.69,0.14,0.83,0.48,0.51,0.68,0.85,0.54,0.51,0.56,0.65,0.49,0.61
1.00,0.80,0.15,0.74,0.30,0.41,0.80,1.00,0.38,0.57,0.82,0.76,0.58,1.00
1.00,0.63,0.46,0.79,0.24,0.52,0.59,0.75,0.08,0.49,0.38,0.46,0.79,0.40
2.00,0.23,0.01,0.00,0.00,0.14,0.34,0.06,0.30,0.00,0.00,0.56,0.21,0.17
2.00,0.22,0.04,0.61,0.28,0.32,0.37,0.21,1.00,0.00,0.16,0.78,0.15,0.29
2.00,0.31,0.10,0.44,0.32,0.30,0.36,0.30,0.80,0.08,0.46,0.48,0.12,0.12
2.00,0.64,0.08,0.37,0.38,0.22,0.39,0.40,0.38,0.13,0.22,0.76,0.45,0.25
2.00,0.23,0.05,0.53,0.43,0.12,0.87,0.77,0.12,0.57,0.30,0.75,0.60,0.10
2.00,0.17,0.12,0.77,0.43,0.36,0.31,0.39,0.64,0.24,0.12,1.00,0.36,0.05
2.00,0.23,0.07,0.79,0.39,0.27,0.50,0.64,0.48,0.65,0.32,0.71,0.39,0.29
2.00,0.46,0.03,0.23,0.23,0.00,0.69,0.79,0.26,0.73,0.41,0.64,0.72,0.16
2.00,0.23,0.06,0.37,0.46,0.00,0.39,0.46,0.28,0.25,0.33,0.64,0.83,0.17
2.00,0.53,0.01,0.66,0.33,0.44,0.53,0.27,0.84,0.00,0.15,0.53,0.25,0.34
2.00,0.18,0.06,0.26,0.32,1.00,0.30,0.26,0.02,0.82,0.11,0.81,0.68,0.31
2.00,0.20,0.15,0.56,0.51,0.34,0.04,0.19,0.48,0.41,0.13,0.40,0.21,0.42
2.00,0.70,0.13,0.87,0.74,0.11,0.68,0.70,0.16,0.57,0.17,0.90,0.71,0.09
2.00,0.58,0.16,0.58,0.69,0.12,0.31,0.42,0.28,0.24,0.22,0.48,0.57,0.14
2.00,0.42,0.16,0.82,1.00,0.84,0.80,0.71,0.16,0.61,0.17,0.85,0.84,0.50
2.00,0.10,0.04,0.62,0.54,0.32,0.83,0.50,0.00,0.49,0.15,0.49,0.70,0.43
2.00,0.01,0.21,0.37,0.28,0.26,0.22,0.34,0.42,0.29,0.22,0.76,0.33,0.11
2.00,0.44,0.00,0.23,0.28,0.11,0.33,0.47,0.22,0.41,0.32,0.71,0.46,0.08
2.00,0.06,0.42,0.58,0.38,0.47,0.26,0.27,0.60,0.21,0.08,0.46,0.47,0.16
2.00,0.22,0.02,0.39,0.22,0.79,0.32,0.42,0.44,0.92,0.18,0.57,0.39,0.34
2.00,0.33,0.63,0.69,0.64,0.32,0.64,0.62,0.60,0.60,0.08,0.71,0.70,0.13
2.00,0.11,0.01,0.42,0.43,0.11,0.50,0.53,0.34,0.40,0.07,0.92,0.70,0.00
2.00,0.34,0.19,0.56,0.42,0.11,0.42,0.61,0.26,0.53,0.24,0.68,0.71,0.31
2.00,0.14,0.05,0.76,0.69,0.00,0.35,0.35,0.54,0.39,0.03,0.85,0.55,0.25
2.00,0.44,0.62,0.64,0.61,0.10,0.23,0.35,0.96,0.47,0.35,0.33,0.28,0.17
2.00,0.06,0.00,0.81,0.38,0.22,0.42,0.52,0.18,0.76,0.13,0.27,0.68,0.17
2.00,0.32,0.02,0.58,0.38,0.29,0.42,0.45,0.34,0.41,0.08,0.76,0.71,0.12
2.00,0.16,0.15,0.63,0.63,0.16,0.28,0.38,0.60,0.45,0.06,0.87,0.37,0.15
2.00,0.00,0.16,0.83,0.79,0.14,0.32,0.35,0.54,0.36,0.08,0.90,0.73,0.20
2.00,0.00,0.25,0.73,0.57,0.08,0.33,0.38,0.70,0.37,0.10,0.51,0.56,0.29
3.00,0.61,0.36,0.88,0.72,0.37,0.20,0.14,0.52,0.44,0.81,0.22,0.20,0.34
3.00,0.55,0.78,0.99,0.74,0.47,0.34,0.17,0.28,0.27,0.79,0.14,0.25,0.25
3.00,0.18,0.45,0.64,0.43,0.25,0.09,0.04,0.54,0.13,0.43,0.13,0.21,0.17
3.00,0.35,0.32,0.61,0.46,0.11,0.14,0.05,0.70,0.09,0.96,0.03,0.14,0.14
3.00,0.79,0.34,0.74,0.48,0.18,0.24,0.10,0.62,0.33,0.94,0.09,0.17,0.27
3.00,0.65,1.00,0.72,0.51,0.23,0.24,0.08,0.78,0.25,0.70,0.11,0.18,0.33
3.00,0.55,0.63,0.74,0.64,0.33,0.28,0.11,0.60,0.39,0.65,0.18,0.11,0.34
3.00,0.51,0.71,0.60,0.48,0.58,0.21,0.10,0.60,0.37,1.00,0.05,0.11,0.40
3.00,0.48,0.36,0.67,0.48,0.58,0.23,0.09,0.80,0.41,0.89,0.07,0.13,0.40
3.00,0.78,0.67,0.91,0.72,0.25,0.37,0.12,0.86,0.37,0.88,0.08,0.12,0.20
3.00,0.38,0.10,0.64,0.38,0.60,0.18,0.25,0.16,0.21,0.26,0.24,0.01,0.25
3.00,0.39,0.44,0.69,0.48,0.36,0.11,0.25,0.22,0.16,0.42,0.22,0.06,0.18
3.00,0.37,0.30,0.69,0.69,0.27,0.06,0.21,0.28,0.16,0.45,0.13,0.03,0.20
3.00,0.33,0.56,0.66,0.56,0.38,0.25,0.24,0.08,0.17,0.37,0.26,0.01,0.23
3.00,0.27,0.07,0.59,0.36,0.10,0.35,0.07,0.94,0.33,0.42,0.23,0.09,0.27
3.00,0.30,0.33,0.56,0.41,0.22,0.22,0.09,1.00,0.21,0.62,0.21,0.12,0.30
3.00,0.19,0.80,0.78,0.54,0.15,0.14,0.04,0.80,0.15,0.23,0.23,0.00,0.32
3.00,0.28,0.97,0.85,0.74,0.25,0.28,0.07,1.00,0.27,0.37,0.31,0.16,0.17
3.00,0.58,0.57,0.55,0.46,0.14,0.22,0.04,0.90,0.18,0.45,0.30,0.21,0.22
3.00,0.38,0.43,0.83,0.69,0.32,0.46,0.07,0.80,0.16,0.36,0.38,0.33,0.22
3.00,0.40,0.40,0.89,0.54,0.25,0.19,0.04,0.80,0.13,0.32,0.25,0.39,0.23
3.00,0.54,0.35,0.66,0.48,0.15,0.14,0.04,0.48,0.09,0.44,0.18,0.45,0.36
3.00,0.59,0.48,0.90,0.66,0.26,0.20,0.05,0.74,0.05,0.29,0.38,0.30,0.17
3.00,0.62,0.85,0.66,0.48,0.19,0.35,0.13,0.68,0.24,0.30,0.41,0.29,0.19
3.00,0.19,0.63,0.56,0.41,0.47,0.14,0.12,0.32,0.29,0.76,0.12,0.28,0.41
